"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000099992",211.420054172673,1.14071545284258,0.150495949211032,7.57970868201258,3.46331723025267e-14,3.38002716263474e-13
"ENSG00000099995",1462.80805860899,-0.255119820261097,0.0889432044800309,-2.86834527440908,0.00412624964383483,0.00985803070713552
"ENSG00000099999",497.247024045992,0.0788919098347378,0.102854145993907,0.767027027178964,0.443065446449053,0.548682992018733
"ENSG00000100003",147.100875158334,0.18054215261786,0.159261608509855,1.13362005009945,0.25695395895872,0.355167315397954
"ENSG00000242114",130.013814833765,-0.0970429195335998,0.180544816822712,-0.537500445824996,0.590921977054155,0.683883041490583
"ENSG00000181123",9.81557783783695,-0.428414373784093,0.555042321892753,-0.771858931987662,0.440197983177743,0.545868022061655
"ENSG00000133488",315.393550422403,-0.257344907916841,0.128033585255972,-2.00997970495274,0.0444333368991296,0.0813515611047962
"ENSG00000128242",687.771498860654,0.432135444365164,0.105969596725365,4.07791911754751,4.54405677476113e-05,0.000157453913263665
"ENSG00000100029",1952.94925457521,-0.50239469816841,0.0896351720264057,-5.60488351626535,2.08395066224746e-08,1.15811907822351e-07
"ENSG00000185339",284.382911902633,0.292650664873678,0.117794645069034,2.48441399608759,0.0129764849044152,0.0273907900788732
"ENSG00000240972",34.3527350737452,-0.227963186438549,0.305653835239607,-0.745821449483352,0.455775280940042,0.56091957489271
"ENSG00000099994",549.468262073569,0.840684693721749,0.11077721633557,7.58896749287435,3.22464639525338e-14,3.15415244378764e-13
"ENSG00000100284",700.410733859079,0.126919039569685,0.105294396390165,1.20537316249376,0.228059277130811,0.322055060769819
"ENSG00000230912",8.82330629901348,0.665268142487557,0.616420349881981,1.07924428941213,0.280478840725365,0.381494429713933
"ENSG00000100216",878.556038111803,-0.399836892986133,0.0970038190629256,-4.12186753932607,3.75813284585009e-05,0.000131579891974487
"ENSG00000100226",517.22583931743,0.0953449660699,0.106716384944271,0.893442615393043,0.371620189834472,0.477959826978986
